start	end	text
1773000	1775000	e toda vez que você dá um PR nele,
1775000	1777000	ele já atualiza para você.
1777000	1779000	É como uma fina de...
1779000	1781000	de conhecimento,
1781000	1783000	para a gente ver como funciona.
1783000	1785000	Estou fazendo aqui na mão.
1785000	1787000	Tô dizendo que a porta do meu container
1787000	1789000	que já é 8080,
1789000	1791000	então a Cláudia Ubuntu
1791000	1793000	tem que estar escutando aqui.
1793000	1795000	E aqui,
1795000	1797000	legal,
1797000	1798000	eu vou deixar.
1798000	1799000	E esse aqui é o front,
1799000	1801000	que é reconfigurado em Android.
1801000	1803000	Esse front só para...
1803000	1805000	antes de eu atualizar aqui,
1805000	1807000	eu tenho essa classe aqui onde estão os meus verbos.
1809000	1811000	E ele erda dessa classe aqui
1811000	1813000	que só está aguardando a URL.
1813000	1815000	A URL com a URL.
1815000	1817000	Então,
1817000	1819000	ele vai chamar a minha perigueita
1819000	1821000	e vai chamar
1821000	1823000	o microserviço de delivery.
1823000	1825000	E o microserviço de delivery vai comunicar
1825000	1827000	o microserviço.
1827000	1829000	Toda vez que eu abro essa página aqui,
1829000	1831000	ela dá um get.
1831000	1833000	Então, eu só vou separar aqui
1833000	1835000	e vou deixar esse cara aqui.
1839000	1841000	Vou melhorar aqui a disposição.
1841000	1843000	Então, eu selecionei aqui a nova versão
1843000	1845000	do...
1845000	1847000	do container.
1849000	1851000	Aqui está,
1851000	1853000	que agora já é 2 minutos atrás.
1853000	1855000	E vou dar um implementar.
1857000	1859000	Olha que bacana, ele está implementando.
1859000	1861000	A Cláudia Luana, que ela está em atualização
1861000	1863000	e eu não perdi o acesso.
1863000	1865000	Meu get funcionando.
1865000	1867000	E olha aqui, ele trabalhando.
1867000	1869000	Meus equisições estão 100% na versão anterior
1869000	1871000	de 22 horas atrás, que é o que está com o flagzinho aqui.
1871000	1873000	E eu não perdi.
1873000	1875000	Eu consigo fazer até um post aqui.
1875000	1877000	Para qualquer coisa.
1879000	1881000	Dá um incluir aqui.
1881000	1883000	O outro post,
1883000	1885000	foi, inclusive, pedido 3 aqui,
1885000	1887000	de uma pedida no Firebase.
1887000	1889000	Ele continua trabalhando
1889000	1891000	e assim que ele terminar,
1891000	1893000	aqui, olha, ele atualizou.
1893000	1895000	Agora, 100% das equisições já estão na nova versão.
1897000	1899000	Esse daqui é a Pegate, o que está chamando
1899000	1901000	a outra Cloud Run.
1901000	1903000	E o processo para atualizar essa Cloud Run
1903000	1905000	é a mesma.
1905000	1907000	Então, eu só vim aqui em um shell.
1907000	1909000	Mas eu vou voltar a pasta
1909000	1911000	para ter que ser de dois pontos.
1911000	1913000	O LCD.
1913000	1915000	Pedidos.
1915000	1917000	Underline.
1917000	1919000	B,
1919000	1921000	R,
1921000	1923000	C,
1923000	1925000	R,
1925000	1927000	C.
1927000	1929000	E eu vou botar esse comando do Cloud Build
1929000	1931000	e só me chamando o Cloud Build dele aqui.
1931000	1933000	Quanto ele está executando aqui.
1933000	1935000	E uma coisa que a gente viu nas boas práticas,
1935000	1937000	né?
1937000	1939000	Apenas a Pegate deve estar disposta
1939000	1941000	e o microserviço não.
1941000	1943000	Os microserviços dentro do orquestrador lá
1943000	1945000	não deve estar.
1945000	1947000	Tivesse mais microserviços dentro desse container.
1947000	1949000	E aqui,
1949000	1951000	dentro da
1951000	1953000	do próprio Google,
1953000	1955000	que se eu executar o comando,
1955000	1957000	ele vai dar um get, né?
1957000	1959000	Então, se eu chamar aqui,
1959000	1961000	eu vou chamar o meu container.
1961000	1963000	Um pedido de Firebase,
1963000	1965000	olha, 100% de acesso.
1965000	1967000	A Pegate eu não sei que chamar ele.
1971000	1973000	Só esperar terminar de atualizar o container.
1979000	1981000	Ele está terminando o Build aqui.
1989000	1991000	Aqui os steps do
1991000	1993000	do upper file.
1995000	1997000	Criando
2003000	2005000	uma target dele.
2005000	2007000	E finalizou
2007000	2009000	criação.
2009000	2011000	E aqui,
2011000	2013000	a gente vai fazer o mesmo esquema.
2013000	2015000	A gente está
2015000	2017000	a nossa Cloud Run do microserviço.
2019000	2021000	Vem pro orquestrador.
2021000	2023000	Criando
2027000	2029000	e vou selecionar aqui a última
2029000	2031000	versão que eu criei.
2031000	2033000	E ao salvar,
2033000	2035000	vou implementar aqui.
2035000	2037000	Mesma coisa, o mesmo microserviço que está lá
2037000	2039000	utilizando direto, o Firebase,
2039000	2041000	continuar funcionando.
2043000	2045000	Se eu
2045000	2047000	alterar aqui,
2047000	2049000	ele continua funcionando
2049000	2051000	enquanto ele implementa
2051000	2053000	a nova versão.
2053000	2055000	Enquanto todos os usuários estão
2055000	2057000	trabalhando aqui dentro
2057000	2059000	da versão anterior até
2059000	2061000	de atualizar de vez.
2061000	2063000	E o que é legal aqui também,
2063000	2065000	se eu consigo acessar as métricas
2065000	2067000	enquanto ele atualiza,
2067000	2069000	deixa eu ter que esperar.
2069000	2071000	Não consigo assim.
2071000	2073000	Opa!
2073000	2075000	Como é que deu uma trabadinha aqui?
2077000	2079000	E aqui a gente tem
2079000	2081000	os relatórios
2081000	2083000	para a gente ter tomadas de decisões
2083000	2085000	da Cloud, de como está
2085000	2087000	as solicitações.
2087000	2089000	A gente vai terminar de
2089000	2091000	pedir não a regrupas da chuva.
2091000	2093000	Mas aqui ele vai ter
2093000	2095000	a pontagem de solicitações
2095000	2097000	de containers.
2097000	2099000	De quantas instâncias ele precisou
2099000	2101000	utilizar?
2107000	2109000	A latência que foi, as demoras,
2109000	2111000	você consegue ter
2111000	2113000	uma série de informações
2113000	2115000	da utilização do sumir para o serviço.
2115000	2117000	Porque toda a estrutura
2117000	2119000	da sua infraestrutura
2119000	2121000	é controlada
2121000	2123000	pelo Google Cloud.
2125000	2127000	Bom pessoal,
2127000	2129000	é isso.
2129000	2131000	Eu não vou entrar tantos detalhes
2131000	2133000	aqui dos relatórios.
2133000	2135000	Ele é bem auto-explicativo.
2135000	2137000	E espero ter conseguido
2137000	2139000	realmente descomplicar a Cloud
2139000	2141000	principalmente utilizando Delphi,
2141000	2143000	que não é uma abordagem muito comum
2143000	2145000	para a gente,
2145000	2147000	que é do meio do Delphi.
2147000	2149000	A gente é mais acostumado
2149000	2151000	com os monolitos, mas a gente
2151000	2153000	consegue trabalhar assim
2153000	2155000	no novo formato
2155000	2157000	e
2157000	2159000	é isso, pessoal.
2159000	2161000	Se alguém tiver dúvidas,
2161000	2163000	quiser perguntar
2163000	2165000	um momento e agora.
2165000	2167000	Vou parar a gravação aqui.
